SongName,AlbumName,AlbumLink,Year,PlayCount,Lyrics,SongLink,Duration
12 Bodies - Interlude,Emotionally Unavailable,https://open.spotify.com/album/0DU2vGl3iqTMSHHHd2l6eP,2015,0,"Not cause I just asked him, like how many people have you slept with?
What did he say? He was like 20 thousand
No he said 12, he said like 10-12 yeah
He probably frontin'
Nah I said ""wow, I didn't think you had it in you""
He was like ""What's it""
I'm like, I don't know, I just really didn't think he had it in him",https://open.spotify.com/track/3NNMLFHYv0Oz6WvUoArTOr,26
A Train,Emotionally Unavailable,https://open.spotify.com/album/0DU2vGl3iqTMSHHHd2l6eP,2015,546512,"Riding on the A train,
Got you stuck on my brain
On my way to the city
Wanna know what you do when with me
Love on the wall like graffiti
I know running from you ain't easy
Gotta read between the lines
âE˜Cause I need the noise, I need the loud
I need the doors to shut you out!
I need the people, I need it bad
I need them all right now
I need the noise, I need the loud
I need the doors to shut you out!
I need to breathe, I need to think
Only way I'm gonna do it is on this A train!
Ooh oh oh oh
On the A train, yeah
Ooh oh oh oh
On the A train, yeah yeah yeah
A train, riding on the A train!
Lights on my daydream,
Underground, yeah it's the remedy
I could stay as long as I wanna
Somehow there's a right in this remedy
I love you but I need some time
and the tracks just help me to clear my mind
Don't take it personal,
I just need a moment!
âE˜Cause I need the noise, I need the loud
I need the doors to shut you out!
I need the people, I need it bad
I need them all right now
I need the noise, I need the loud
I need the doors to shut you out!
I need to breathe, I need to think
Only way I'm gonna do it is on this A train!
Ooh oh oh oh
On the A train, yeah
Ooh oh oh oh
On the A train, yeah yeah yeah
A train, riding on the A train!
Catch me on the A train, A train
Catch me on the A train, A train
Catch me on the A train, A train",https://open.spotify.com/track/4jANgesmHOE2XPc6dIOAA7,206
About Time,Space and Time,https://open.spotify.com/album/0u5rzBrMMWxw38l9T3dFu9,2021,1331069,"Yeah, uh
Yeah, uh
It's about time
I-, I-, I-, I-, I-
It's about time
Justine, uh
There's a lot I could say
You deserve the payback
Bad, but I can't runnin' back
So fast, at last
On the strip
There's a lot I won't say
Don't wanna just react
Facts, this time I won't relapse
Knew that none of y'all had my back
I found a way out, and on your way out
Last words
I'm on the way up, and I'ma be straight, so
Don't worry 'bout it
You hide your face, can't stop talking 'bout it
Don't worry 'bout a thing
'Cause it won't matter anyway
Bury my best
It's a new day
'Cause I know I can always count on you
To make me look stupid, make me look foolish
And I know I can always count on you
To let me down
Down, down, down
'Kay, uh
'Kay, uh
Okay, so now that we're through
I saw what's real, and knew was true
You followed me, I followed you
It's almost hot, 'cause you was new, but
They'll all regret that
'Cause I'll be right back
Flyback, it's gon' be private
Funny to see
How they all undergraded me, ah
I found a way out, and on your way out
Last words
I'm on the way up, and I'ma be straight, so
Don't worry 'bout it
You hide your face, can't stop talking 'bout it
Don't worry 'bout a thing
'Cause it won't matter anyway
Bury my best
It's a new day
'Cause I know I can always count on you
To make me look stupid, make me look foolish
And I know I can always count on you
To let me down
Down, down, yeah",https://open.spotify.com/track/5KPm2VqYQazFUg3TrJz2nu,172
Agenda,8 Ounces,https://open.spotify.com/album/0qKVC0VLIoSKSTdCHWPo7c,2016,1796624,"I heard that you can make mascara run a mile
I heard that you got everybody going oooooh child
Well I'mma getcha for the next one
Getcha back for the ex that you did wrong
From New York down to Texas
Make you buy a Lex for your kids mom
I showed up with this agenda
Imma be the one that you remember
We met last September and I've been gone since November
Pre
I love you so much I wanna kill you
I love you so much I wanna be near you
Now I love you so much I wanna heal you
Now I love you so much I want the real you
Hook
But you all about them (Girls)
But you all about them (Girls)
All up on them (Girls)
On the phone with (Girls)
Never lonely (Girls)
Old ones, New ones (Girls)
Fake ones, true ones (Girls)
Like you never knew one (Girls)
We go clueless
All about them (Girls)
All up on them (Girls)
On the phone with (Girls)
Never lonely (Girls)
Old ones, new ones (Girls)
Fake ones, true ones (Girls)
Now I heard that you oh oh oh can nothing into something
Midnight magic, baby
Now I heard that you ou ou ou ou ou can turn zero into one zero
Instant classic baby
I know been around but I ain't never seen your face
And all I'm thinking now is I should know your name
All I'm thinking now is I'mma make you remember remember my name
Say it over and over again, again, again, again
I showed with this agenda
Imma be the one that you remember
We met last September
And I've been gone since November
Pre-
I love you so much I wanna kill you
I love you so much I wanna be near you
Now I love you so much I wanna heal you
Now I love you so much I want the real you
Hook
But you all about them (Girls)
All about them (Girls)
All up on them (Girls)
On the phone with (Girls)
Never lonely (Girls)
Old ones, new ones (Girls)
Fake ones true ones (Girls)
Like you never knew one (Girls)
We go clueless
All about them (Girls)
All up on them (Girls)
On the phone with (Girls)
Never lonely (Girls)
Old ones, new ones (Girls)
Fake ones true ones (Girls)
Like you never knew one (Girls)
We go clueless",https://open.spotify.com/track/7GpQULkwEIzchWpz1fGnIF,225
Back For More,ULTRAVIOLET,https://open.spotify.com/album/75LxF9bnfpeimog46qoQJl,2018,10043487,"You should be right here in this drop top
Or in the sand, on the beach, let our lips lock
Sex me with a view over mai tais
No wi-fi you get to My hotspot
Can I be honest?
Yeah, we both want it, yeah
You're losing focus
I hope you notice
You don't miss a good thing until it's gone
You don't take me serious until I'm done
You don't miss a good thing until it's gone
And you don't take me serious until I'm done
You'll be back for more, yeah, yeah
You won't regret it, (oh yea!) oh no
You'll be back for more
You won't regret it, (oh yea!) oh no
No babe
Pull up, right now
Ain't no need for us to play around
The argues, played out
Broken record, let it fade out
Got me all up in my feelings
You out partyin', I'm chilling
Ah yeah, yeah, yeah
You don't miss a good thing until it's gone
You don't take me serious until I'm done
You don't miss a good thing until it's gone
And you don't take me serious until I'm done
You'll be back for more, yeah, yeah
You won't regret it, no no (Won't regret it)
You'll be back for more
You won't regret it (oh yeah!)
No, no
I'll call it payback
If you do (I do)
But we both know what you want on the low (On the low)
His love was faded from your mind
So when I hit you up you come in no time (No woah)
At my doorstep, you arrive (Arrive)
Tench coat on, wearing nothing inside (Nothing inside)
You came late, yeah, but you're right on time (Right on time)
All I know (All I know)
All I know (All I know)
You'll be back for more, yeah, yeah
You won't be regret it, no, no (Oh yeah!)
You'll be back for more
You won't regret it (Oh yeah!)
(You won't regret it)
No, no, no
Na babe
Ohhh, Ohh",https://open.spotify.com/track/63eKGyalhj3iFSVyzqKaoF,188
Bandit,Emotionally Unavailable,https://open.spotify.com/album/0DU2vGl3iqTMSHHHd2l6eP,2015,5661781,"You wanna go play right away, well I'm fine with that
We some and drink all day, baby, and I'm faded like
I can't remember your name, right away, what I'm tryna say
I got that game changed, I got that game changed
I got that game changed and you want it
You've been looking at me strange like if only
Deep into your gaze, brainwashing
Brainwashing, this is your warning
I'm bout to tell ya dirty, dirty, little secret
I'ma keep it, dirty, dirty, can you keep it?
Don't say nothing that you know you're gonna regret
Put your hands up in the air it's a stick up, stick up
I'm a bandit, I'm a bandit
I'm a bandit, I'm a bandit
I'ma throw it, throw it, throw it
Throw it throw it throw it throw it up
You can't stand it
Yeah, I'm a bandit
This world's going crazy like a maniac
Gold in my champagne, I don't care, where my gangsters at?
Put em in the air one time
Live your life no matter what they say
I do this everyday
I want the money, fuck the fame
Game changed and you want it
You've been looking at me strange like you falling
Deep into my gaze, brainwashing
Brainwashing, this is your warning
I'm 'bout to tell you dirty, dirty little secret
I'ma keep it daddy, daddy, can you keep it?
Don't say nothing that you know you gonna regret
Put your hands up in the air
It's a stick up, stick up
I'm a bandit, I'm a bandit, I'm a bandit, I'm a bandit
Ima throw it, throw it, throw it, throw it, throw it, throw it, throw it up
You can't stand it
Yeah I'm a bandit
Ooh, you've been looking for the wrong one baby
Oh yeah, and I know what to do to make you go crazy
Oh yeah, you've been looking for the wrong one baby
Oh yeah, I know what to do to make you go crazy (craz-eee)
'Bout to tell you dirty, dirty little secret
Ima keep it daddy, daddy, can you keep it?
Don't say nothing that you know you gonna regret
Put your hands up in the air
It's a stick up, stick up
I'm a bandit, I'm a bandit, I'm a bandit, I'm a bandit
I'ma throw it, throw it, throw it, throw it, throw it, throw it, throw it up
You can't stand it
Yeah I'm a bandit",https://open.spotify.com/track/6PEEQ9K6C73efbHDBGhWXJ,189
Bulletproof,BARE WITH ME (The Album),https://open.spotify.com/album/3KhbfZCXAGH3Zih09mAp5e,2020,2619144,"Them, want me, but you (You), know me
You're my no place like home (Home)
You're the type to take control, I know (I know)
So me lay up on your bed (Ay, ay, ay)
All rachet for my baby (Ay, ay, ay)
You don't rest until we
But we're bulletproof, no army
Bitches runnin' 'round sayin' they gon' make time
For you, I know I could do time
You ain't gotta hold tight on my waistline
You, you, the only one on my mind
All my friends and my mama bang both sign
You, you be shinin' like a green light
You gon' miss the sun starin' at the sky
We ain't gotta love like everyone else
We ain't gotta love like everyone else
'Cause we know we bulletproof
And don't need to make excuses
We ain't gotta love like everyone else
We ain't gotta love like them
We ain't gotta tell the world
What we're doing now, why, why, why, why, why
Keep it away from these birds
All they do is tweet, tweet, they ain't coming offline
I ain't gotta do the most to show that you my bae
We already know the deal, we ain't gotta overkill, no, no
Bitches runnin' 'round sayin' they gon' make time
For you, I know I could do time
You ain't gotta hold tight on my waistline
You, you, the only one on my mind
All my friends and my mama bang both sign
You, you be shinin' like a green light
You gon' miss the sun starin' at the sky
We ain't gotta love like everyone else
We ain't gotta love like everyone else
'Cause we know we bulletproof, and
Don't need to make excuses
We ain't gotta love like everyone else
We ain't gotta love like them
Ooh, ooh, ooh, ooh
Ooh, ooh, ooh
Ooh-ooh, ooh
(We ain't gotta love like them)
Ooh, ooh, ooh, ooh
Ooh, ooh, ooh
Ooh-ooh, ooh
Bitches runnin' 'round sayin' they gon' make time
For you, I know I could do time
You ain't gotta hold tight on my waistline
You, you, the only one on my mind
All my friends and my mama bang both sign
You, you be shinin' like a green light
You gon' miss the sun starin' at the sky
We ain't gotta love like everyone else
We ain't gotta love like everyone else (We ain't gotta love)
'Cause we know we bulletproof
And don't need to make excuses
We ain't gotta love like everyone else (No, no)
We ain't gotta love like them
Ooh, ooh, ooh, ooh
Ooh, ooh, ooh
Ooh-ooh, ooh
(We ain't gotta love like them)
Ooh, ooh, ooh, ooh (We ain't gotta love like them, no, oh)
Ooh, ooh, ooh (Yeah-ah, we ain't gotta love like them)",https://open.spotify.com/track/2bLNCZeUzcu3dPPRI2xw2r,223
Collide (feat. Tyga),Dark Side,https://open.spotify.com/album/0FvZIwN0AHWYQVyuS3KR7H,2023,547466344,"(Mustard on the Beat)
I been knowing you for long enough
Damn, I need you right now
You can take your time, don't have to rush
This might take us a while (yeah)
I left all the doors unlocked and you said you're on your way
When you get here don't just say a word, got no time to play
I know you think that you know me
But you ain't even seen my dark side
It's as if it's you only
So baby, do it right, do me right
We can go over time
We can move fast, then rewind
When you put your body on mine
And collide, collide
It could be one of those nights
When we don't turn off the lights
Wanna see your body on mine
And collide, collide
Baby, it's all yours if you want it, all yours if you want it
Put it down you can want it, tonight
Said it's all yours if you want it, all yours if you want it
Put it down you can want it, let's collide
Wakin' up, she on it
Good love in the mornin'
Get on top my cojones
I pleasure you for the moment
This don't come with no warranty
You want it but can't afford it
My world is different than yours
You're opinion of me is glory
Glorifying in all these foreign
Back to future, and DeLorean
You ain't used to feelin' this important
Cars imported, girls imported
Insubordinate, get deported
Baby, check my inventory
Got a whole lot in store for ya
Birkin bags, purple tags
I can put a whole lot of shit on blast
Vera Wang, Balenciaga
Baby, you ain't never too fly for that
I talk a lot of shit (shit), 'cause I can back it up (back it up)
She know I'm the shit (shit), so baby back it up
We can go over time
We can move fast, then rewind
When you put your body on mine
And collide, collide
It could be one of those nights
When we don't turn off the lights
Wanna see your body on mine
And collide, collide
Baby, it's all yours if you want it, all yours if you want it
Put it down you can want it tonight
Said it's all yours you can want it, all yours can you want it
Put it down you can want it, let's collide
I know that this is love when we touch, boy
You got my heart
And can't nobody make me feel like you do, boy, like you do
♪
('Cause baby we can go)
We can go over time
We can move fast then rewind
When you put your body on mine
And collide, collide
It could be one of those nights
When we don't turn off the lights
Wanna see your body on mine
And collide, collide
Baby it's all yours you can want it, all yours you can want it
Put it down you can want it tonight
Said it's all yours you can want it, all yours if you can want it
Put it down you can want it, let's collide",https://open.spotify.com/track/5kY2DRIom6dcVZbQb1SAX8,260
Conscious,Space and Time,https://open.spotify.com/album/0u5rzBrMMWxw38l9T3dFu9,2021,8914025,"Where? Where have you, you been?
Where have you been?
How did you get here?
Where have you been?
♪
Where? Where? Where have you been?
I'm mad at you, baby",https://open.spotify.com/track/36Ezh1UxFKlr8blLAF7Sk8,75
Do It Right,Dark Side,https://open.spotify.com/album/0FvZIwN0AHWYQVyuS3KR7H,2023,1068048,"Look at you
What are you tryna prove?
Like we don't know the truth
How do you get confused?
Baby, you don't mean it and I don't need it
All of that talk keep it, keep it
You know me, ain't the only one I see
Ain't the only one I need here
But if you play your cards right, hmm
Baby, you're mine, only for the night
Can do what I like?
Wanna know if you can do it right, yeah
You ain't gotta tell me who you been with
I don't give a fuck 'bout where you go
I've been dodging all your calls
Laid up with another nigga that you know, yeah
We gotta act like this
Something we did before, yeah
I'm just tryna get you vibing
If you got a problem, maybe you should go
Walked in the club, headed straight to the back
Can you grabbing my ass, oh boy, no you act
Then I don't get attached, give me tucked in a cup
'Cause I know it ain't love
But you know good as fuck, yeah
You know me, ain't the only one I see
Ain't the only one I need here
But if you play your cards right, hmm
Baby, you're mine, only for the night
Can do what I like?
Wanna know if you can do it right, yeah
It's about time, why don't we go
Know you been waiting on my queue so
Siting on top, make my ass roll
I'ma show you what I like, struck my ego
You know me, ain't the only one I see
Ain't the only one I need here
But if you play your cards right, hmm
Baby, you're mine, only for the night
Can do what I like?
Wanna know if you can do it right, yeah
You know me, ain't the only one I see
Ain't the only one I need here
But if you play your cards right, hmm
Baby, you're mine, only for the night
Can do what I like?
Wanna know if you can do it right, yeah",https://open.spotify.com/track/47zIZ8on4OGsLdO47wOVfw,151
Don’t Think About It,ULTRAVIOLET,https://open.spotify.com/album/75LxF9bnfpeimog46qoQJl,2018,9386770,"Every time I think about us
I know I'm cool 'cause I know it ain't love
I know I'm cool 'cause I know it ain't, trust
We about that all day loving, all night
Calling up your phone, I'm trying to hit
I'm still getting over what you did to me
You sent me a picture of your (Uh)
And I was like: ""Ahhh-ahh, ahhh-ahh""
I'll be 'round in 10 or maybe less
You can pour the Henny and then get me out my dress, oh
Don't want no one else, he do it best
You got me like (Ohh), mmm (Yeah), oh
Keeping me up like insomnia
But when we're done, I'm back in my car
We fit together but we're better apart
Like mmm, yeah, yeah, yeah
Every time I think about us
I know I'm cool 'cause I know it ain't love
I know I'm cool 'cause I know it ain't, trust
We about that all day loving, all night
Don't think about it
Every time I think about this
I know I'm cool 'cause I know what this is
I know I'm cool 'cause I-I'ma re-list
We about that all day loving, all night
Don't think about it
Flew into L.A., I'm on the strip
My whip in Calabasas, come and pick me up
I'm not trying to hang, I wanna dip
I'm dreaming 'bout ahhh-ahh, ahhh-ahh
You ain't gotta stress about no strings
I prefer it if we're on a talking, it ain't a ting, no
You ain't gotta worry 'bout a thing
You got me like (Mmm), oh (Oh), oh
Keeping me up like insomnia
But when we're done, I'm back in my car
We fit together but we're better apart
Like mmm, yeah, yeah, yeah
Every time I think about us
I know I'm cool 'cause I know it ain't love
I know I'm cool 'cause I know it ain't, trust
We about that all day loving, all night
Don't think about it
Every time I think about this
I know I'm cool 'cause I know what this is
I know I'm cool 'cause I-I'ma re-list
We about that all day loving, all night
Let's slow down
Let's slow down
Keeping me up like insomnia
But when we're done, I'm back in my car
We fit together but we're better apart
Like mmm, yeah, yeah, yeah
Ooohh, every time I think about us
I know I'm cool 'cause I know it ain't love
I know I'm cool 'cause I know it ain't, trust
We about that all day loving, all night
Don't think about it
Every time I think about this
I know I'm cool 'cause I know what this is
I know I'm cool 'cause I-I'ma re-list
We about that all day loving, all night
Don't think about it",https://open.spotify.com/track/4IlakQ3QzAp2WD5tjIpAs7,170
Don’t Worry,Emotionally Unavailable,https://open.spotify.com/album/0DU2vGl3iqTMSHHHd2l6eP,2015,769030,"I never thought I'd make it
But I've been standing my ground
And I'm doing just fine without you
Yeah no I don't even trip about it
And ever since you went left
I found what's right for me, loving myself
enough for two
No I don't even trip about it
Thank you for the light you showed me
cause I know now
What I wish I would've know
I'm just loving life, yeah I'm just doing me
I'm strong enough when I'm alone
So you ain't gotta worry 'bout me baby
(don't worry bout me baby)
I'm good, I'm good
So you ain't gotta worry 'bout me baby
(don't worry bout me baby)
I'm good, yes I'm good
I did it all before you, you know it, so I
can do it again
See you ain't gotta worry 'bout me baby
(don't worry bout me baby)
If I'm the one that held me down then I
can hold it down for myself
Hold it down, hold it down yeah
Hold it down, hold it down yeah
Hold it down myself
I won't forget about it
Cause you meant everything to me, but
now I'm looking out for something new
But all I really wanted was to be with you
baby
Oh now I'm saying
Thank you for the light you showed me
cause I know now
What I wish I would've know
I'm just loving life, yeah I'm just doing me
I'm strong enough when I'm alone
So you ain't gotta worry 'bout me baby
(don't worry bout me baby)
I'm good, I'm good
So you ain't gotta worry 'bout me baby
(don't worry bout me baby)
I'm good, yes I'm good
I did it all before you, you know it, so I
can do it again
See you ain't gotta worry 'bout me baby
(don't worry bout me baby)
If I'm the one that held me down then I
can hold it down for myself
Whoa but most importantly, I wanted to
believe that you were mine
Because I loved you baby
But now I finally see, I need a real love to
keep me alive
Now I'm on to the next thing
Thank you for the light you showed me
cause I know now
What I wish I would've know
I'm just loving life, yeah I'm just doing me
I'm strong enough when I'm alone
So you ain't gotta worry 'bout me baby
(don't worry bout me baby)
I'm good, I'm good
So you ain't gotta worry 'bout me baby
(don't worry bout me baby)
I'm good, yes I'm good
I did it all before you, you know it, so I
can do it again
See you ain't gotta worry 'bout me baby
(don't worry bout me baby)
If I'm the one that held me down then I
can hold it down for myself",https://open.spotify.com/track/4hiLCuncmdtTufKBdeitgr,231
Everyday Living,Everyday Living,https://open.spotify.com/album/02C690ZuIlrpxIjBZhhuzq,2013,918893,"Passion for the finer things
And you know that its only getting worst, only getting worst
I ain't got no diamond rings, but you know that
I'm gonna make it work, gonna make it work
So y'all can dine with me, shine with me
Ride with me, grind with me, climb with me
Long as you down for me, round for me
Its gonna be, everything, you ever dreamed
Hey ah hey ah (heyy) hey ah hey ah (heyy)
I'm saying last time that I look, things look real good
Hey ah hey ah (heyy) hey ah hey ah (heyy)
And if you look around the town, you can see I hold it down
(Baby) I'm getting this money, out here in LA (LA)
Beach side in Miami (Miami) that's everyday
I want to live, like this forever (ever)
Everyday is adventure (adventure)
This life that I own (own)
This life that I want (want)
Ohh woahh, and if you want to fade into the night
Then we can do it how every you like
And if you look around the town, you can see how I hold it down (oh)
Living loving everyday and you know that
Its passing, passing by, passing, passing, by
Early mornings, working late
So you know so you know my only limit is the sky, limit is the sky
I want y'all can dine with me, shine with me,
Ride with me, grind with me, climb with me
Long as you down for me, round for me
Its gonna be, everything, you ever dreamed
Hey ah hey ah (heyy) hey ah hey ah (heyy)
I'm saying last time that I look, things look real good
Hey ah hey ah (heyy) hey ah hey ah (heyy)
And if you look around the town, you can see I hold it down
(Baby) I'm getting this money, out here in LA (LA)
Beach side in Miami (Miami) that's everyday
I want to live, like this forever (ever)
Everyday is adventure (adventure)
This life that I own (own) this life that I want (want)
Ohh woahh, and if you want to fade into the night
Then we can do it how every you like
And if you look around the town, you can see how I hold it down (oh)
Feels like I'm on top of the world
Looking down, everybody staring
Looking at me for their fashion and style
So they know what they should be wearing
(Ohh) Made some money, now I deserve my time
And now that I'm coppin whatever I want
My whole team gon' be fine
Hey ah hey ah (heyy) hey ah hey ah (heyy)
I'm saying last time that I look, things look real good
Hey ah hey ah (heyy) hey ah hey ah (heyy)
And if you look around the town, you can see I hold it down (baby)
I'm getting this money, out here in LA (LA)
Beach side in Miami (Miami) that's everyday
I want to live, like this forever (ever)
Everyday is adventure (adventure)
This life that I own (own)
This life that I want (want)
Ohh woahh, and if you want to fade into the night
Then we can do it how every you like
And if you look around the town, you can see how I hold it down
(See how I hold it down) Woahhhhhhh
Oh oooooo
Yeahhh, yeahhh-ahhh
Owwwwahhhh",https://open.spotify.com/track/7xGNd1RlIKaniCfeuUjaok,242
FAV,BARE WITH ME (The Album),https://open.spotify.com/album/3KhbfZCXAGH3Zih09mAp5e,2020,1054885,"I just wanna be, yeah, favorite
Oh, oh
I know this could be a little unusual
So I'ma tell you what you didn't know
You give me everything I'm crazy for
Every single time, that you be the DJ (oh)
Play me somethin' from the streets
Both bodies callin' out, two part harmonies
I'ma let you take the lead (the lead)
Like your magic on repeat, 'peat
I just wanna be your favorite (I just wanna be your favorite)
Meet you drunk and blow on these purple vapors
I can tell you want me naked (I can see you want me)
Ooh, you know we're on the same wavelength
I just wanna be your favorite (I just wanna be your favorite)
Meet you drunk and blow on these purple vapors
I can tell you want me naked (I can see you want me)
Ooh, you know we're on the same wavelength
I just (I just) wanna be your favorite baby
I just wanna be your (I just wanna be, wanna be your) favorite
I just (I just) wanna be your favorite
(I just wanna be, wanna be your favorite)
(Baby girl) oh-oh, baby
Baby
You know I'm not your average or typical
Yeah, I'm the type of girl that you should know
I'ma give you everything you crazy for
Every single time, that you be the DJ (oh)
Give me somethin' from the streets
Both bodies callin' out, two part harmonies
I'ma let you take the lead
Like your magic on repeat, oh, oh
I just wanna be your favorite (I just wanna be your favorite)
Meet you drunk and blow on these purple vapors
I can tell you want me naked (I can see you want me)
Ooh, you know we're on the same wavelength
I just wanna be your favorite (I just wanna be your favorite)
Meet you drunk and blow on these purple vapors
I can tell you want me naked (I can see you want me)
Ooh, you know we're on the same wavelength
I just (I just) wanna be your favorite baby
I just wanna be your (I just wanna be, wanna be your) favorite
I just (I just) wanna be your favorite (wanna be naked)
(I just wanna be, wanna be your favorite) uh, oh
(Uh-oh, baby) baby
I'm gonna be your, gonna be your
I just want to love me, I'm gonna be
I'm gonna be your, gonna be your",https://open.spotify.com/track/1Fi0rRQOIBcNXB0MxNYbwY,210
Fun,8 Ounces,https://open.spotify.com/album/0qKVC0VLIoSKSTdCHWPo7c,2016,319518,"Tell me what you want babe
I'd do whatever it takes
I make you my fake friend
Tell you what you now I will give it somehow
I will be the best babe
I wanna have fun with you
Tonight
I wanna have fun with you
Tonight
Youuu've been everything that I want to be a part of you
You call me when you get home
I'd right over you",https://open.spotify.com/track/1hSrWVcL4Y9Cc4UH8tX6Wi,122
Good by Now,Everyday Living,https://open.spotify.com/album/02C690ZuIlrpxIjBZhhuzq,2013,576799,"When I tell you something why don't you believe me?
If you always think I'm doing something greasy (Ohh ohh ohh ohhhh)
I can feel it in my heart I still love you (Ohh ohh)
But I don't know if I can take another sleepless night
No I don't know if I can take another stupid fight
No I don't know if I can take another sleepless night without you
You don't know I'm dying
Can't see my tear drops drying
We should be good by now
We should be good by now
And baby ain't you tired?
Every night and day, running around in circles baby nothing ever changed
We should be good by now
We should be good by now
Every time I walk away, I always run back (run back)
And nobody understands how much I miss that (Oh ohhh)
I can feel it in my heart I still love you
But I don't know if I can take another sleepless night
No I don't know if I can take another stupid fight
No I don't know if I can take another sleepless night without you
Tell me how much longer, want it to be over
I don't wanna argue, be angry no more
Don't know if I'm strong enough
This ain't the kind of love I every wanted
Never no never thought it would be like this
x2
But I don't know if I can take another sleepless night
No I don't know if I can take another stupid fight
We should be good by now
We should be good by now",https://open.spotify.com/track/5csjOMdchZX4ZN2tEF1Jbq,283
